z_m,T_ci_C,T_co_C
-4.571999999999794007e-01,3.953807018858285574e+02,3.391262700372354857e+02
-4.444999999999792450e-01,3.959577423608774893e+02,3.395491796262153343e+02
-4.317999999999790894e-01,3.965274327660141012e+02,3.399694714493493279e+02
-4.190999999999789338e-01,3.970897237553911054e+02,3.403871008546971098e+02
-4.063999999999787782e-01,3.976445666373890049e+02,3.408020235427929379e+02
-3.936999999999786226e-01,3.981919133806777609e+02,3.412141955748237478e+02
-3.809999999999784670e-01,3.987317166203255852e+02,3.416235733808408668e+02
-3.682999999999783114e-01,3.992639296639602549e+02,3.420301137680163492e+02
-3.555999999999781558e-01,3.997885064979685694e+02,3.424337739289264846e+02
-3.428999999999780002e-01,4.003054017937501499e+02,3.428345114498783346e+02
-3.301999999999778446e-01,4.008145709140108011e+02,3.432322843192631012e+02
-3.174999999999776890e-01,4.013159699190971992e+02,3.436270509359370067e+02
-3.047999999999775333e-01,4.018095555733768833e+02,3.440187701176362225e+02
